"geography_name","sex_name","age_code","age_name","year","N","source","mean_pcs","mean_mcs","mean_pcs_wt","mean_mcs_wt","eq5d_util_lf_6v_wt"
"Northern Ireland","Female",34,"30-34",2019,81,"US",54.121975308642,47.3325925925926,53.5315670875924,46.0491034363415,0.854978856623418
"Northern Ireland","Female",39,"35-39",2019,47,"US",52.1536170212766,46.1397872340426,51.5833125649149,45.3716915764452,0.821535076178248
"Northern Ireland","Female",44,"40-44",2019,89,"US",50.4170786516854,45.8622471910112,49.7994902704498,46.3857748383249,0.807775520174296
"Northern Ireland","Female",49,"45-49",2019,100,"US",48.4152,45.0079,46.1923906109805,44.5121404623646,0.745463908366808
"Northern Ireland","Female",54,"50-54",2019,111,"US",47.6491891891892,48.9250450450451,48.0876567065422,49.9311151328676,0.818781142041693
"Northern Ireland","Female",59,"55-59",2019,102,"US",45.4785294117647,49.8521568627451,45.2723861283387,49.7489598215852,0.785316785854597
"Northern Ireland","Female",64,"60-64",2019,100,"US",44.0996,48.864,43.9235467210617,48.7366239877757,0.760980975138201
"Northern Ireland","Female",69,"65-69",2019,80,"US",43.9525,49.906875,43.9427185733443,48.6535153958418,0.760412830113572
"Northern Ireland","Female",74,"70-74",2019,74,"US",40.0098648648649,46.9621621621622,38.5241633706909,46.7005763432238,0.677727659463995
"Northern Ireland","Female",79,"75-79",2019,52,"US",39.7651923076923,52.8963461538462,39.3371855093745,52.684605537527,0.745852470234732
"Northern Ireland","Female",84,"80-84",2019,36,"US",35.3802777777778,50.2075,34.5594674990933,48.32198331243,0.642948491152123
"Northern Ireland","Female",85,"85_plus",2019,24,"US",36.6166666666667,51.93,35.0429193935934,50.5236090346904,0.672434480027483
"Northern Ireland","Male",20,"under_20",2019,62,"US",55.2358064516129,50.0045161290323,55.3235310473222,50.546803630115,0.918418508190689
"Northern Ireland","Male",24,"20-24",2019,72,"US",55.3433333333333,48.3995833333333,55.2938648524236,46.9140922366247,0.88898637540222
"Northern Ireland","Male",29,"25-29",2019,46,"US",52.8902173913044,49.435,52.7528864138084,50.5163516249808,0.881505409455356
"Northern Ireland","Male",34,"30-34",2019,51,"US",52.8480392156863,46.0139215686275,52.8008740180767,48.8250989978135,0.868572991726978
"Northern Ireland","Male",39,"35-39",2019,36,"US",51.39,49.1669444444445,53.8089288687637,51.9318265185764,0.90663067419051
"Northern Ireland","Male",44,"40-44",2019,48,"US",52.365,47.360625,51.5550528093784,49.2362172878018,0.855350752020958
"Northern Ireland","Male",49,"45-49",2019,79,"US",51.2426582278481,49.9563291139241,49.989456507171,49.4449764688386,0.837326170614447
"Northern Ireland","Male",54,"50-54",2019,81,"US",48.5423456790124,49.4832098765432,46.9938710432556,48.8378733517271,0.796573321471108
"Northern Ireland","Male",59,"55-59",2019,94,"US",47.2501063829787,49.3492553191489,47.1945710821054,48.8449433192461,0.798945641614363
"Northern Ireland","Male",64,"60-64",2019,74,"US",46.8591891891892,51.6698648648649,45.9481509416532,51.9722776872795,0.811888548649334
"Northern Ireland","Male",69,"65-69",2019,68,"US",47.0141176470588,52.8442647058824,46.0999047390965,51.6581097644809,0.810947810063093
"Northern Ireland","Male",74,"70-74",2019,62,"US",44.7029032258065,52.4504838709678,43.3849400601347,50.4172647203692,0.770482201083598
"Northern Ireland","Male",79,"75-79",2019,40,"US",43.7645,54.893,44.1312338617991,54.6149637648661,0.813626056883187
"Northern Ireland","Male",84,"80-84",2019,29,"US",43.9168965517241,53.7379310344828,44.8448177351581,54.4488797638288,0.819820077123205
"Northern Ireland","Male",85,"85_plus",2019,18,"US",37.2888888888889,46.0727777777778,35.243143365346,43.1441593203021,0.593687863147425
